Station Name,Latitude,Longitude,Number of Bikes
GEORGES LANE,53.35023,-6.279696,10
NORTH CIRCULAR ROAD (O'CONNELL'S),53.357841,-6.251557,14
PHIBSBOROUGH ROAD,53.356307,-6.273717,17
SMITHFIELD NORTH,53.349562,-6.278198,16
CLONMEL STREET,53.336021,-6.26298,9
AVONDALE ROAD,53.359405,-6.276142,17
MOUNT STREET LOWER,53.33796,-6.24153,27
CHRISTCHURCH PLACE,53.343368,-6.27012,9
GRANTHAM STREET,53.334123,-6.265436,6
PEARSE STREET,53.344304,-6.250427,9
YORK STREET EAST,53.338755,-6.262003,30
EXCISE WALK,53.347777,-6.244239,17
FITZWILLIAM SQUARE WEST,53.336074,-6.252825,1
PORTOBELLO ROAD,53.330091,-6.268044,16
PARNELL STREET,53.350929,-6.265125,12
FREDERICK STREET SOUTH,53.341515,-6.256853,37
CUSTOM HOUSE,53.348279,-6.254662,22
RATHDOWN ROAD,53.35893,-6.280337,4
HANOVER QUAY,53.344115,-6.237153,15
OLIVER BOND STREET,53.343893,-6.280531,4
COLLINS BARRACKS MUSEUM,53.347477,-6.28525,21
BROOKFIELD ROAD,53.339005,-6.300217,11
BENSON STREET,53.344153,-6.233451,15
EARLSFORT TERRACE,53.334295,-6.258503,5
GOLDEN LANE,53.340803,-6.267732,10
DEVERELL PLACE,53.351464,-6.255265,30
WILTON TERRACE (PARK),53.333653,-6.248345,0
JOHN STREET WEST,53.343105,-6.277167,10
FENIAN STREET,53.341428,-6.24672,4
MERRION SQUARE SOUTH,53.338614,-6.248606,6
SOUTH DOCK ROAD,53.341833,-6.231291,29
CITY QUAY,53.346637,-6.246154,1
EXCHEQUER STREET,53.343034,-6.263578,4
THE POINT,53.346867,-6.230852,8
BROADSTONE,53.3547,-6.272314,1
HATCH STREET,53.33403,-6.260714,4
LIME STREET,53.346026,-6.243576,25
CHARLEMONT PLACE,53.330662,-6.260177,7
KILMAINHAM GAOL,53.342113,-6.310015,6
HARDWICKE PLACE,53.357043,-6.263232,4
WOLFE TONE STREET,53.348875,-6.267459,15
GREEK STREET,53.346874,-6.272976,20
GUILD STREET,53.347932,-6.240928,40
HERBERT PLACE,53.334432,-6.245575,2
HIGH STREET,53.343565,-6.275071,3
NORTH CIRCULAR ROAD,53.359624,-6.260348,19
WESTERN WAY,53.354929,-6.269425,9
TALBOT STREET,53.350974,-6.25294,36
NEWMAN HOUSE,53.337132,-6.26059,10
SIR PATRICK DUN'S,53.339218,-6.240642,32
NEW CENTRAL BANK,53.347122,-6.234749,23
GRANGEGORMAN LOWER (CENTRAL),53.355173,-6.278424,0
KING STREET NORTH,53.350291,-6.273507,12
KILLARNEY STREET,53.354845,-6.247579,30
HERBERT STREET,53.335742,-6.24551,0
HANOVER QUAY EAST,53.343653,-6.231755,9
CUSTOM HOUSE QUAY,53.347884,-6.248048,0
MOLESWORTH STREET,53.341288,-6.258117,3
GEORGES QUAY,53.347508,-6.252192,16
KILMAINHAM LANE,53.341805,-6.305085,6
MOUNT BROWN,53.341645,-6.29719,0
MARKET STREET SOUTH,53.342296,-6.287661,6
KEVIN STREET,53.337757,-6.267699,24
ECCLES STREET EAST,53.358115,-6.265601,1
GRAND CANAL DOCK,53.342638,-6.238695,23
MERRION SQUARE EAST,53.339434,-6.246548,7
YORK STREET WEST,53.339334,-6.264699,38
ST. STEPHEN'S GREEN SOUTH,53.337494,-6.26199,29
DENMARK STREET GREAT,53.35561,-6.261397,14
ROYAL HOSPITAL,53.343897,-6.29706,12
HEUSTON STATION (CAR PARK),53.346985,-6.297804,38
GRANGEGORMAN LOWER (NORTH),53.355954,-6.278378,1
ST. STEPHEN'S GREEN EAST,53.337824,-6.256035,29
HEUSTON STATION (CENTRAL),53.346603,-6.296924,33
TOWNSEND STREET,53.345922,-6.254614,14
ECCLES STREET,53.359246,-6.269779,5
PORTOBELLO HARBOUR,53.330362,-6.265163,4
MATER HOSPITAL,53.359967,-6.264828,6
BLESSINGTON STREET,53.356769,-6.26814,4
JAMES STREET,53.343456,-6.287409,1
MOUNTJOY SQUARE EAST,53.356717,-6.256359,3
MERRION SQUARE WEST,53.339764,-6.251988,8
CONVENTION CENTRE,53.34744,-6.238523,14
HARDWICKE STREET,53.355473,-6.264423,1
PARKGATE STREET,53.347972,-6.291804,35
DAME STREET,53.344007,-6.266802,12
HEUSTON BRIDGE (SOUTH),53.347106,-6.292041,1
CATHAL BRUGHA STREET,53.352149,-6.260533,6
SANDWITH STREET,53.345203,-6.247163,19
BUCKINGHAM STREET LOWER,53.353331,-6.249319,29
ROTHE ABBEY,53.338776,-6.30395,5
CHARLEVILLE ROAD,53.359157,-6.281866,3
PRINCES STREET / O'CONNELL STREET,53.349013,-6.260311,11
UPPER SHERRARD STREET,53.358437,-6.260641,13
FITZWILLIAM SQUARE EAST,53.335211,-6.2509,2
GRATTAN STREET,53.339629,-6.243778,2
ST JAMES HOSPITAL (LUAS),53.341359,-6.292951,1
HARCOURT TERRACE,53.332763,-6.257942,3
BOLTON STREET,53.351182,-6.269859,6
JERVIS STREET,53.3483,-6.266651,16
ORMOND QUAY UPPER,53.346057,-6.268001,20
GRANGEGORMAN LOWER (SOUTH),53.354663,-6.278681,1
MOUNTJOY SQUARE WEST,53.356299,-6.258586,12
WILTON TERRACE,53.332383,-6.252717,1
EMMET ROAD,53.340714,-6.308191,2
HEUSTON BRIDGE (NORTH),53.347802,-6.292432,29
LEINSTER STREET SOUTH,53.34218,-6.254485,20
BLACKHALL PLACE,53.3488,-6.281637,8
CLARENDON ROW,53.340927,-6.262501,23
JAMES STREET EAST,53.336597,-6.248109,0
PARNELL SQUARE NORTH,53.3537415547453,-6.26530144781526,0
FOWNES STREET UPPER,53.344603,-6.263371,16
SMITHFIELD,53.347692,-6.278214,21
FRANCIS STREET,53.342081,-6.275233,11
