Average_rating_F,Average_dist_F,Average_rating_Y,Average_distance_Y,Number of Bikes
9.09,618.5,4.725,813.6349743900162,10
8.9,824.0,4.675,852.3027052934165,14
8.98,999.3,4.725,834.0614397279778,17
9.13,584.4,4.75,777.2321013930846,16
9.219999999999995,709.7,4.775,689.4254975985798,9
8.54,726.6,4.65,893.2493367602922,17
8.969999999999999,600.2,4.625,799.2083107900087,27
9.239999999999998,607.5,4.875,766.2654543261551,9
9.13,697.1,4.775,761.1548497694664,6
9.2,711.1,4.775,881.9562929730761,9
9.239999999999998,599.3,4.825,714.8701963386309,30
8.98,683.7,4.625,962.2320561456454,17
9.15,765.7,4.725,718.6921473493978,1
9.04,693.5,4.8,849.2365923680323,16
9.159999999999998,677.9,4.825,583.109609188997,12
9.22,519.9,4.85,695.2911762659735,37
9.2,736.9,4.8,795.167053352355,22
8.27,698.5,4.625,923.6335253074932,4
8.969999999999999,704.6,4.575,813.9430255894918,15
9.14,645.6,4.725,778.0476407500125,4
9.010000000000002,593.7,4.725,703.5843447071525,21
8.620000000000001,871.4,4.475,769.8824599300629,11
8.809999999999999,614.3,4.575,780.016988685921,15
9.17,755.3,4.75,699.3376750929013,5
9.23,606.2,4.9,764.5501859046624,10
9.060000000000002,676.2,4.8,785.242154050267,30
9.06,831.8,4.675,697.2002979968698,0
9.159999999999998,725.2,4.775,805.873626082653,10
9.14,723.7,4.7,701.7650883475787,4
9.17,749.4,4.725,783.8730779632544,6
8.879999999999999,629.1,4.575,844.0160023131357,29
9.070000000000002,650.7,4.7,901.7288142287848,1
9.239999999999998,440.9,4.85,640.5298430480399,4
8.55,617.6,4.425,795.2763753098376,8
9.080000000000002,766.8,4.85,901.1521219689124,1
9.17,750.9,4.8,714.4292306508709,4
8.98,623.3,4.65,891.3905480060093,25
9.080000000000002,683.1,4.775,756.3643313893242,7
8.120000000000001,497.0,4.1,559.6625173588402,6
8.870000000000001,656.9,4.725,697.4143662672881,4
9.23,678.9,4.85,617.3476112491772,15
9.169999999999998,602.9,4.85,780.0693727406385,20
8.879999999999999,631.3,4.55,794.1136365689509,40
8.989999999999998,763.9,4.65,763.5020435862518,2
9.169999999999998,676.1,4.85,840.1817679070566,3
8.83,657.8,4.675,680.1844310911113,19
9.040000000000004,720.3,4.825,798.1803800537189,9
9.05,596.2,4.775,864.1040638083662,36
9.23,640.4,4.775,651.524844168046,10
8.969999999999999,564.4,4.6,842.240411969605,32
8.700000000000001,620.2,4.575,882.4876953287278,23
8.99,846.0,4.65,834.4988486708389,0
9.19,725.1,4.875,810.9640158257032,12
8.940000000000001,750.1,4.65,952.0106679305632,30
9.04,746.3,4.65,738.8798476675859,0
8.879999999999999,700.2,4.6,780.8011507435624,9
9.13,770.4,4.7,897.0825890006481,0
9.239999999999998,490.6,4.85,669.4746429788062,3
9.19,749.9,4.8,842.8364165731157,16
8.47,533.5,4.325,726.0878321834406,6
8.790000000000001,765.0,4.575,784.0313934083645,0
9.06,841.4,4.7,684.4817228986745,6
9.23,674.8,4.775,687.0329455413702,24
8.870000000000001,700.2,4.725,778.4203318311131,1
8.98,612.7,4.575,757.8914543323762,23
9.13,701.3,4.675,713.5463070746235,7
9.239999999999998,608.9,4.85,733.2541488426742,38
9.239999999999998,652.5,4.8,675.7475472424892,29
8.92,626.0,4.75,680.3925042509672,14
8.73,678.1,4.575,887.9950813121499,12
8.849999999999998,763.3,4.55,803.8409949726271,38
8.850000000000001,1060.1,4.675,893.1164311449859,1
9.209999999999996,652.9,4.775,642.0319966776556,29
8.879999999999999,875.9,4.65,859.8070914495192,33
9.239999999999998,653.8,4.8,752.2889762554166,14
8.85,715.5,4.675,798.6008247726922,5
9.1,722.6,4.825,862.938718538159,4
8.860000000000001,705.8,4.675,701.9955239005523,6
8.89,784.3,4.725,751.3180145947388,4
9.0,633.0,4.7,701.7054954066283,1
8.86,633.5,4.725,688.6782819624691,3
9.209999999999996,697.9,4.75,701.2458568523894,8
8.84,674.0,4.575,894.6112924218044,14
9.02,706.4,4.75,660.3250562172749,1
8.97,738.5,4.7,804.1722332943707,35
9.239999999999998,531.7,4.825,650.1966681801526,12
8.97,734.6,4.7,793.605536192434,1
9.14,715.8,4.825,626.9153684336056,6
9.11,715.9,4.75,889.6158903630692,19
8.940000000000001,611.6,4.7,939.4116479598248,29
8.290000000000003,567.6,4.25,672.6492858233532,5
8.27,733.0,4.55,920.6445315271542,3
9.19,630.3,4.825,611.8121181097738,11
8.850000000000001,716.3,4.675,619.8138361808768,13
9.12,841.7,4.7,727.1351670608437,2
8.98,640.3,4.625,746.9620284425376,2
8.809999999999999,822.2,4.675,890.2625431814507,1
9.11,796.5,4.775,705.186032738761,3
9.169999999999998,715.1,4.875,689.4165276405358,6
9.23,629.2,4.85,616.9457398912015,16
9.23,534.5,4.9,710.8203453595252,20
8.99,810.2,4.65,817.6797122901096,1
8.92,654.0,4.75,710.6591479266741,12
9.04,728.5,4.75,726.9297914034413,1
8.23,422.1,4.325,752.5123532617852,2
8.98,772.7,4.7,828.6998022415764,29
9.22,627.7,4.775,659.7828198029033,20
9.070000000000002,607.9,4.7,682.150165941245,8
9.239999999999998,466.7,4.875,680.3725347533579,23
9.14,782.5,4.675,690.6065290017469,0
9.09,646.9,4.8,625.9146707061079,0
9.23,433.1,4.875,676.4689849815599,16
9.14,567.5,4.775,768.8403592403535,21
9.169999999999998,704.7,4.825,835.1912433533914,11
