Latitude,Longitude,Average_distance_Y,Average_review_count_Y,Average_rating_Y,Max_rating_Y,Max_review_count,Min_rating_Y,Min_review_count
53.35023,-6.279696,813.6349743900162,21.05,4.725,5.0,97,4.5,4
53.357841,-6.251557,852.3027052934165,28.95,4.675,5.0,106,4.5,3
53.356307,-6.273717,834.0614397279778,17.85,4.725,5.0,56,4.5,4
53.349562,-6.278198,777.2321013930846,16.45,4.75,5.0,50,4.5,4
53.336021,-6.26298,689.4254975985798,29.9,4.775,5.0,165,4.5,5
53.359405,-6.276142,893.2493367602922,33.1,4.65,5.0,200,4.5,3
53.33796,-6.24153,799.2083107900087,15.5,4.625,5.0,50,4.5,5
53.343368,-6.27012,766.2654543261551,19.15,4.875,5.0,101,4.5,4
53.334123,-6.265436,761.1548497694664,29.9,4.775,5.0,165,4.5,5
53.344304,-6.250427,881.9562929730761,20.85,4.775,5.0,101,4.5,4
53.338755,-6.262003,714.8701963386309,20.05,4.825,5.0,101,4.5,5
53.347777,-6.244239,962.2320561456454,26.25,4.625,5.0,115,4.5,5
53.336074,-6.252825,718.6921473493978,21.15,4.725,5.0,101,4.5,5
53.330091,-6.268044,849.2365923680323,26.35,4.8,5.0,165,4.5,5
53.350929,-6.265125,583.109609188997,13.1,4.825,5.0,50,4.5,4
53.341515,-6.256853,695.2911762659735,20.55,4.85,5.0,101,4.5,5
53.348279,-6.254662,795.167053352355,13.65,4.8,5.0,68,4.5,4
53.35893,-6.280337,923.6335253074933,22.45,4.625,5.0,200,4.0,2
53.344115,-6.237153,813.9430255894918,27.5,4.575,5.0,176,4.5,4
53.343893,-6.280531,778.0476407500125,29.95,4.725,5.0,165,4.5,4
53.347477,-6.28525,703.5843447071525,16.05,4.725,5.0,53,4.5,4
53.339005,-6.300217,769.8824599300629,14.55,4.475,5.0,48,3.5,1
53.344153,-6.233451,780.016988685921,30.35,4.575,5.0,176,4.5,4
53.334295,-6.258503,699.3376750929013,21.15,4.75,5.0,101,4.5,5
53.340803,-6.267732,764.5501859046624,19.1,4.9,5.0,101,4.5,5
53.351464,-6.255265,785.242154050267,12.2,4.8,5.0,50,4.5,4
53.333653,-6.248345,697.2002979968698,21.4,4.675,5.0,68,4.5,5
53.343105,-6.277167,805.873626082653,29.05,4.775,5.0,165,4.5,5
53.341428,-6.24672,701.7650883475787,16.9,4.7,5.0,68,4.5,5
53.338614,-6.248606,783.8730779632544,15.1,4.725,5.0,68,4.5,5
53.341833,-6.231291,844.0160023131357,30.6,4.575,5.0,176,4.5,4
53.346637,-6.246154,901.7288142287849,16.25,4.7,5.0,68,4.5,4
53.343034,-6.263578,640.5298430480399,19.3,4.85,5.0,101,4.5,5
53.346867,-6.230852,795.2763753098376,37.15,4.425,5.0,166,4.0,2
53.3547,-6.272314,901.1521219689123,14.5,4.85,5.0,50,4.5,4
53.33403,-6.260714,714.4292306508709,21.9,4.8,5.0,101,4.5,5
53.346026,-6.243576,891.3905480060093,17.4,4.65,5.0,67,4.5,5
53.330662,-6.260177,756.3643313893242,19.65,4.775,5.0,101,4.5,5
53.342113,-6.310015,559.6625173588402,11.3,4.1,5.0,48,3.5,2
53.357043,-6.263232,697.4143662672881,18.7,4.725,5.0,56,4.5,4
53.348875,-6.267459,617.3476112491772,15.4,4.85,5.0,68,4.5,4
53.346874,-6.272976,780.0693727406385,15.2,4.85,5.0,68,4.5,4
53.347932,-6.240928,794.1136365689509,21.15,4.55,5.0,88,4.5,5
53.334432,-6.245575,763.5020435862518,20.75,4.65,5.0,68,4.5,5
53.343565,-6.275071,840.1817679070566,19.5,4.85,5.0,101,4.5,4
53.359624,-6.260348,680.1844310911113,27.4,4.675,5.0,106,4.5,3
53.354929,-6.269425,798.1803800537189,16.0,4.825,5.0,50,4.5,4
53.350974,-6.25294,864.1040638083662,12.3,4.775,5.0,50,4.5,4
53.337132,-6.26059,651.524844168046,21.9,4.775,5.0,101,4.5,5
53.339218,-6.240642,842.240411969605,16.4,4.6,5.0,50,4.5,5
53.347122,-6.234749,882.4876953287278,15.65,4.575,5.0,67,4.5,4
53.355173,-6.278424,834.4988486708389,30.35,4.65,5.0,106,4.5,4
53.350291,-6.273507,810.9640158257032,12.55,4.875,5.0,33,4.5,4
53.354845,-6.247579,952.0106679305633,16.65,4.65,5.0,56,4.5,4
53.335742,-6.24551,738.8798476675859,19.75,4.65,5.0,68,4.5,5
53.343653,-6.231755,780.8011507435624,29.35,4.6,5.0,176,4.5,2
53.347884,-6.248048,897.0825890006481,16.35,4.7,5.0,68,4.5,4
53.341288,-6.258117,669.4746429788062,20.55,4.85,5.0,101,4.5,5
53.347508,-6.252192,842.8364165731157,13.4,4.8,5.0,68,4.5,4
53.341805,-6.305085,726.0878321834406,18.7,4.325,5.0,85,3.5,1
53.341645,-6.29719,784.0313934083645,26.05,4.575,5.0,120,4.0,1
53.342296,-6.287661,684.4817228986745,29.6,4.7,5.0,165,4.5,3
53.337757,-6.267699,687.0329455413702,27.5,4.775,5.0,165,4.5,5
53.358115,-6.265601,778.4203318311131,17.7,4.725,5.0,56,4.5,4
53.342638,-6.238695,757.8914543323762,26.7,4.575,5.0,176,4.5,3
53.339434,-6.246548,713.5463070746235,18.5,4.675,5.0,68,4.5,5
53.339334,-6.264699,733.2541488426742,19.55,4.85,5.0,101,4.5,5
53.337494,-6.26199,675.7475472424892,21.95,4.8,5.0,101,4.5,5
53.35561,-6.261397,680.3925042509672,17.9,4.75,5.0,50,4.5,4
53.343897,-6.29706,887.9950813121499,32.85,4.575,5.0,200,4.0,2
53.346985,-6.297804,803.8409949726271,22.6,4.55,5.0,85,4.0,1
53.355954,-6.278378,893.1164311449859,28.4,4.675,5.0,106,4.5,4
53.337824,-6.256035,642.0319966776556,21.15,4.775,5.0,101,4.5,5
53.346603,-6.296924,859.8070914495192,31.65,4.65,5.0,200,4.0,2
53.345922,-6.254614,752.2889762554166,13.8,4.8,5.0,68,4.5,4
53.359246,-6.269779,798.6008247726922,28.9,4.675,5.0,106,4.5,4
53.330362,-6.265163,862.938718538159,25.85,4.825,5.0,165,4.5,5
53.359967,-6.264828,701.9955239005523,27.4,4.675,5.0,106,4.5,3
53.356769,-6.26814,751.3180145947388,17.8,4.725,5.0,56,4.5,4
53.343456,-6.287409,701.7054954066283,22.9,4.7,5.0,165,4.5,3
53.356717,-6.256359,688.6782819624691,24.65,4.725,5.0,106,4.5,4
53.339764,-6.251988,701.2458568523894,19.85,4.75,5.0,101,4.5,5
53.34744,-6.238523,894.6112924218044,20.0,4.575,5.0,68,4.5,3
53.355473,-6.264423,660.3250562172749,18.45,4.75,5.0,50,4.5,4
53.347972,-6.291804,804.1722332943707,35.65,4.7,5.0,200,4.5,3
53.344007,-6.266802,650.1966681801526,20.6,4.825,5.0,101,4.5,5
53.347106,-6.292041,793.605536192434,35.65,4.7,5.0,200,4.5,3
53.352149,-6.260533,626.9153684336056,13.45,4.825,5.0,50,4.5,4
53.345203,-6.247163,889.6158903630692,15.3,4.75,5.0,68,4.5,4
53.353331,-6.249319,939.4116479598249,33.7,4.7,5.0,107,4.5,4
53.338776,-6.30395,672.6492858233532,11.0,4.25,5.0,48,3.5,1
53.359157,-6.281866,920.6445315271542,21.6,4.55,5.0,200,4.0,2
53.349013,-6.260311,611.8121181097738,14.65,4.825,5.0,68,4.5,4
53.358437,-6.260641,619.8138361808768,29.35,4.675,5.0,106,4.5,4
53.335211,-6.2509,727.1351670608437,21.3,4.7,5.0,101,4.5,5
53.339629,-6.243778,746.9620284425376,17.3,4.625,5.0,51,4.5,5
53.341359,-6.292951,890.2625431814507,36.5,4.675,5.0,139,4.5,3
53.332763,-6.257942,705.186032738761,21.4,4.775,5.0,101,4.5,5
53.351182,-6.269859,689.4165276405358,12.0,4.875,5.0,33,4.5,4
53.3483,-6.266651,616.9457398912015,14.05,4.85,5.0,68,4.5,4
53.346057,-6.268001,710.8203453595252,12.25,4.9,5.0,33,4.5,4
53.354663,-6.278681,817.6797122901096,30.35,4.65,5.0,106,4.5,4
53.356299,-6.258586,710.6591479266741,18.2,4.75,5.0,56,4.5,4
53.332383,-6.252717,726.9297914034413,23.6,4.75,5.0,101,4.5,5
53.340714,-6.308191,752.5123532617852,18.15,4.325,5.0,85,3.5,1
53.347802,-6.292432,828.6998022415764,35.65,4.7,5.0,200,4.5,3
53.34218,-6.254485,659.7828198029033,19.6,4.775,5.0,101,4.5,5
53.3488,-6.281637,682.150165941245,26.2,4.7,5.0,173,4.5,4
53.340927,-6.262501,680.3725347533579,19.2,4.875,5.0,101,4.5,5
53.336597,-6.248109,690.6065290017469,18.15,4.675,5.0,68,4.5,5
53.3537415547453,-6.26530144781526,625.9146707061079,17.0,4.8,5.0,50,4.5,4
53.344603,-6.263371,676.4689849815599,15.85,4.875,5.0,101,4.5,4
53.347692,-6.278214,768.8403592403535,15.25,4.775,5.0,50,4.5,4
53.342081,-6.275233,835.1912433533914,26.6,4.825,5.0,165,4.5,5
